연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,팀순위,경기수,팀승수,팀패수,팀무승부수,팀승률,팀게임차,출생연도,투구유형,타격유형,포지션
2024,44,채은성,한화,0.271,124,498,436,61,118,24,0,20,202,83,0,5,49,1,8,83,12,0.463,0.351,0.814,29,0.27,0.0,44,100,140,0.71,7,0.59,3.81,0.193,70.4,0.274,8,144,66,76,2,0.465,21.0,1990.0,우투,우타,내야수
2024,45,장성우,KT,0.268,131,489,418,53,112,19,0,19,188,81,2,8,60,1,1,86,8,0.45,0.355,0.805,30,0.271,0.133,38,90,138,0.65,14,0.7,4.09,0.182,71.4,0.272,5,144,72,70,2,0.507,15.0,1990.0,우투,우타,내야수
2024,46,이주형,키움,0.266,115,537,473,82,126,19,3,13,190,60,0,1,49,1,14,119,4,0.402,0.352,0.754,36,0.267,0.0,35,111,118,0.94,5,0.41,3.79,0.135,70.1,0.259,10,144,58,86,0,0.403,30.0,2002.0,좌투,좌타,내야수
2024,47,박해민,LG,0.263,144,553,482,72,127,16,6,6,173,56,5,9,46,0,11,101,3,0.359,0.336,0.695,35,0.233,0.25,28,102,161,0.63,4,0.46,4.08,0.095,68.5,0.241,3,144,76,66,2,0.535,11.0,1990.0,우투,좌타,내야수
2024,48,박승욱,롯데,0.262,139,468,405,57,106,19,1,7,148,53,3,3,47,3,10,120,7,0.365,0.351,0.716,27,0.246,0.0,27,98,84,1.17,6,0.39,3.88,0.104,53.3,0.249,7,144,66,74,4,0.471,20.0,1992.0,우투,좌타,내야수
2024,49,이재현,삼성,0.26,109,458,389,71,101,18,1,14,163,66,0,3,58,1,8,83,8,0.419,0.365,0.784,27,0.33,0.25,33,87,121,0.72,5,0.7,4.38,0.159,62.1,0.269,2,144,78,64,2,0.549,9.0,2003.0,우투,우타,내야수
2024,50,황재균,KT,0.26,137,536,493,60,128,22,0,13,189,58,5,2,34,0,2,95,16,0.383,0.309,0.692,34,0.238,0.2,35,113,159,0.71,5,0.36,3.84,0.124,53.5,0.235,5,144,72,70,2,0.507,15.0,1987.0,우투,우타,내야수
2024,51,김휘집,NC,0.258,140,562,488,78,126,24,1,16,200,73,4,8,52,1,10,119,16,0.41,0.337,0.747,33,0.282,0.0,41,91,160,0.57,8,0.44,4.14,0.152,68.3,0.254,9,144,61,81,2,0.43,26.0,2002.0,우투,우타,내야수
2024,29,최원준,KIA,0.292,136,508,438,75,128,23,3,9,184,56,7,5,50,0,8,66,6,0.42,0.371,0.791,37,0.301,0.286,35,127,122,1.04,8,0.76,4.01,0.128,71.2,0.272,1,144,87,55,2,0.613,0.0,1997.0,우투,좌타,외야수
2024,53,김영웅,삼성,0.252,126,509,456,65,115,16,3,28,221,79,1,4,45,0,3,155,2,0.485,0.321,0.806,26,0.31,0.167,47,78,112,0.7,8,0.29,3.83,0.232,75.1,0.266,2,144,78,64,2,0.549,9.0,2003.0,우투,좌타,내야수
2024,54,김주원,NC,0.252,134,475,385,61,97,18,2,9,146,49,9,5,51,1,25,111,5,0.379,0.371,0.75,26,0.243,0.0,29,72,110,0.65,3,0.46,4.07,0.127,62.3,0.262,9,144,61,81,2,0.43,26.0,2002.0,우투,양타,내야수
2024,42,박동원,LG,0.272,130,498,434,58,118,22,0,20,200,80,2,7,55,2,0,112,14,0.461,0.349,0.81,25,0.27,0.5,42,107,104,1.03,4,0.49,4.04,0.189,69.5,0.272,3,144,76,66,2,0.535,11.0,1990.0,우투,우타,내야수
