연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
2021,50,김상수,삼성,0.235,132,496,429,46,101,17,1,3,129,42,8,4,50,김상수,삼성,0.235,52,0,3,51,14,0.301,0.32,0.621,24,0.223,0.333,50,김상수,삼성,0.235,21,147,134,1.1,6,1.02,3.9,0.065,43.1,0.219
2021,51,최형우,KIA,0.233,104,446,373,52,87,15,1,12,140,55,0,2,51,최형우,KIA,0.233,67,10,4,67,9,0.375,0.354,0.729,22,0.264,0.333,51,최형우,KIA,0.233,28,110,111,0.99,11,1,4,0.142,53,0.253
2021,52,장성우,KT,0.231,127,460,385,46,89,13,0,14,144,63,9,3,52,장성우,KT,0.231,60,3,3,69,16,0.374,0.337,0.711,15,0.239,0.2,52,장성우,KT,0.231,27,113,117,0.97,10,0.87,3.95,0.143,49.6,0.245
2021,53,이원석,삼성,0.231,131,480,399,40,92,19,0,9,138,59,2,8,53,이원석,삼성,0.231,60,2,11,80,11,0.346,0.341,0.687,18,0.309,0.25,53,이원석,삼성,0.231,28,77,158,0.49,7,0.75,3.91,0.115,53.5,0.24
2021,54,박병호,키움,0.227,118,477,409,48,93,23,0,20,176,76,0,7,54,박병호,키움,0.227,47,3,14,141,9,0.43,0.323,0.753,22,0.233,0.333,54,박병호,키움,0.227,43,77,105,0.73,9,0.33,4.05,0.203,60.2,0.253
2022,1,이정후,키움,0.349,142,627,553,85,193,36,10,23,318,113,0,3,1,이정후,키움,0.349,66,12,5,32,10,0.575,0.421,0.996,58,0.387,0.333,1,이정후,키움,0.349,69,154,177,0.87,15,2.06,3.69,0.226,120.2,0.333
2022,2,피렐라,삼성,0.342,141,630,561,102,192,33,4,28,317,109,0,2,2,피렐라,삼성,0.342,55,12,12,81,19,0.565,0.411,0.976,57,0.375,0,2,피렐라,삼성,0.342,65,149,141,1.06,12,0.68,3.45,0.223,114.4,0.326
2022,3,박건우,NC,0.336,111,463,408,52,137,18,1,10,187,61,0,3,3,박건우,NC,0.336,44,1,8,62,10,0.458,0.408,0.866,40,0.317,0,3,박건우,NC,0.336,29,100,112,0.89,7,0.71,3.87,0.123,72.1,0.298
2022,4,이대호,롯데,0.331,142,591,540,53,179,23,0,23,271,101,0,6,4,이대호,롯데,0.331,43,7,2,56,26,0.502,0.379,0.881,53,0.318,0.2,4,이대호,롯데,0.331,46,150,161,0.93,9,0.77,3.58,0.17,90.5,0.296
2022,5,나성범,KIA,0.32,144,649,563,92,180,39,2,21,286,97,0,5,5,나성범,KIA,0.32,64,6,17,137,7,0.508,0.402,0.91,54,0.316,0,5,나성범,KIA,0.32,62,117,134,0.87,9,0.47,3.75,0.188,110.9,0.308
