연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,팀순위,경기수,팀승수,팀패수,팀무승부수,팀승률,팀게임차,포지션,투구유형,타격유형,출생연도
2019,35,박세혁,두산,0.279,137,505,441,58,123,19,9,4,172,63,10,6,41,1,7,68,5,0.39,0.345,0.735,29,0.291,0,32,135,121,1.12,7,0.6,3.78,0.111,62.9,0.253,,,,,,,,,,,
2019,36,로맥,SK,0.276,137,589,504,86,139,28,1,29,256,95,0,6,73,3,6,117,11,0.508,0.37,0.878,39,0.266,0,58,90,164,0.55,12,0.62,4.19,0.232,94.5,0.294,,,,,,,,,,,
2019,37,김상수,삼성,0.271,129,543,468,76,127,20,2,5,166,38,6,4,50,1,15,67,14,0.355,0.358,0.713,36,0.228,0.25,27,145,133,1.09,4,0.75,3.95,0.083,63.8,0.25,,,,,,,,,,,
2019,38,유강남,LG,0.27,132,468,418,44,113,22,0,16,183,49,1,6,30,2,13,82,21,0.438,0.334,0.772,25,0.21,0.273,38,115,114,1.01,8,0.37,3.86,0.167,56.8,0.26,,,,,,,,,,,
2019,39,김강민,SK,0.27,127,460,422,54,114,14,2,8,156,50,0,3,31,3,4,103,2,0.37,0.324,0.694,31,0.298,0.25,24,88,120,0.73,7,0.3,3.95,0.1,52.3,0.238,,,,,,,,,,,
2019,40,이창진,KIA,0.27,133,470,400,57,108,25,1,6,153,48,4,5,57,0,4,92,8,0.383,0.363,0.746,27,0.267,0.333,32,82,123,0.67,4,0.62,3.93,0.113,57.3,0.259,,,,,,,,,,,
2019,41,이재원,SK,0.268,139,502,451,33,121,19,0,12,176,75,1,7,34,2,9,59,16,0.39,0.327,0.717,29,0.303,0.364,31,137,141,0.97,10,0.58,3.57,0.122,57.1,0.245,,,,,,,,,,,
2019,42,김재호,두산,0.268,130,470,377,51,101,22,0,4,135,48,8,11,67,3,7,58,10,0.358,0.379,0.737,22,0.257,0.5,26,84,145,0.58,7,1.16,3.86,0.09,59,0.26,,,,,,,,,,,
2019,43,구자욱,삼성,0.267,122,526,475,66,127,27,6,15,211,71,0,6,38,2,7,88,5,0.444,0.327,0.771,32,0.302,0.5,48,110,156,0.71,9,0.43,3.65,0.177,71.3,0.258,,,,,,,,,,,
2019,44,정수빈,두산,0.265,123,513,441,75,117,19,5,0,146,41,4,5,57,0,6,60,6,0.331,0.354,0.685,30,0.245,0.5,24,145,124,1.17,5,0.95,3.98,0.066,59.1,0.242,,,,,,,,,,,
2019,45,한유섬,SK,0.265,125,502,427,52,113,20,0,12,169,52,0,0,55,4,20,100,6,0.396,0.375,0.771,28,0.264,0.3,32,108,106,1.02,7,0.55,4,0.131,65.7,0.268,,,,,,,,,,,
